state	S_OV	S_NO	U_OV	U_NO	OR	log2OR	LCL	UCL	p_greater	p_less	p_two
BivFlnk	11911	100519732	811506	1156703430	0.168899	-2.565767	0.165871	0.171982	1.000e+00	0.000e+00	0.000e+00
Enh	1886995	98644648	33352667	1124162269	0.644756	-0.633174	0.643802	0.645712	1.000e+00	0.000e+00	0.000e+00
EnhBiv	25870	100505773	1003255	1156511681	0.296718	-1.752835	0.293078	0.300403	1.000e+00	0.000e+00	0.000e+00
EnhG	514259	100017384	6939555	1150575381	0.852491	-0.230243	0.850073	0.854916	1.000e+00	0.000e+00	0.000e+00
Het	1785220	98746423	31092116	1126422820	0.654970	-0.610499	0.653974	0.655968	1.000e+00	0.000e+00	0.000e+00
Quies	67834983	32696660	729869005	427645931	1.215597	0.281665	1.215070	1.216125	0.000e+00	1.000e+00	0.000e+00
ReprPC	463092	100068551	6005800	1151509136	0.887291	-0.172520	0.884637	0.889954	1.000e+00	0.000e+00	0.000e+00
ReprPCWk	14985884	85545759	135589204	1021925732	1.320317	0.400884	1.319555	1.321079	0.000e+00	1.000e+00	0.000e+00
TssA	346295	100185348	14956831	1142558105	0.264047	-1.921135	0.263157	0.264939	1.000e+00	0.000e+00	0.000e+00
TssAFlnk	759952	99771691	15683124	1141831812	0.554560	-0.850585	0.553280	0.555843	1.000e+00	0.000e+00	0.000e+00
TssBiv	9614	100522029	674456	1156840480	0.164045	-2.607837	0.160775	0.167381	1.000e+00	0.000e+00	0.000e+00
Tx	2874139	97657504	47809498	1109705438	0.683118	-0.549793	0.682293	0.683944	1.000e+00	0.000e+00	0.000e+00
TxFlnk	239861	100291782	3305016	1154209920	0.835229	-0.259756	0.831770	0.838702	1.000e+00	0.000e+00	0.000e+00
TxWk	7860599	92671044	119186977	1038327959	0.738954	-0.436444	0.738398	0.739510	1.000e+00	0.000e+00	0.000e+00
ZNF/Rpts	253653	100277990	5716602	1151798334	0.509651	-0.972418	0.507625	0.511685	1.000e+00	0.000e+00	0.000e+00
